paper_id,year,has_abstract,title,citation_count
8c99dc6fc4e27c3c7ad2159f76880097f202e840,2020,False,Visual Analytics for Understanding Images and Video,0
98640ae27089cb6ade2dff4c7024bb2878c29cc2,2020,True,VASABI: Hierarchical User Profiles for Interactive Visual User Behaviour Analytics,34
a0f440e94a6858bd83071cdcf253b7569c1600b7,2020,False,Visual Analytics for Understanding Texts,1
adeaefc4725a6c8427d1602341349a771c825cb7,2020,False,Big Data Analytics for Time-Critical Mobility Forecasting: From Raw Data to Trajectory-Oriented Mobility Analytics in the Aviation and Maritime Domains,4
b372b6138ab11954aaff95f9edb38e7db3dffe09,2020,False,Visual Analytics for Understanding Spatial Distributions and Spatial Variation,0
c5cb8c5074e807f999d6b94e5d3045296dee0936,2020,False,Automating and utilizing equal-distribution data classification,2
cb870b4c7f607a54a015364daf8e55e6ea117e57,2020,False,Big Data Visualization and Analytics: Future Research Challenges and Emerging Applications,1
d06eddeb43a6f9ea6b8aa454219b8838105bf053,2020,False,Principles of Interactive Visualisation,0
d20bf7aab7512ca164a03fe35991058676036f9e,2020,False,Big Data Visualization and Analytics: Future Research Challenges and Emerging Applications,36
d32c355f37beeae3b08755c3cfb73bd5480f5514,2020,False,Visual Analytics for Understanding Phenomena in Space and Time,0
d3351cd3343ebb61e9b5606ab9998859f5275d41,2020,False,Visual Analytics for Investigating and Processing Data,0
d5e67760e1bf017b8ae780716bdb214b94aa0424,2020,False,Visual Analytics in the Aviation and Maritime Domains,1
ea882f865bf958b60ee7e7aadad90a4f1dd57a52,2020,False,Computational Techniques in Visual Analytics,0
ed736ee1d4a334bec2c045bf3f7f102b4c141474,2020,True,Semantics-Space-Time Cube: A Conceptual Framework for Systematic Analysis of Texts in Space and Time,39
f043c45e75a40e988b511f7d15dd59268d00cfd4,2020,False,Visual Analytics for Understanding Multiple Attributes,1
07b27a53e40f7685bc8ec4934e7b8308ae84d535,2019,False,Towards the usefulness of user-generated content to understand traﬀic events,1
13e0c208bbaff54e9038aa0b784dbbc98679316d,2019,True,Geovisual analysis of VGI for understanding people's behaviour in relation to multifaceted context,0
1e4cbf3f6fb7d47c4c4be1887f166e9390465724,2019,False,The datAcron Ontology for the Specification of Semantic Trajectories,9
1f6b71f88bc53093e4a58bd17ed5b0f075a67084,2019,True,Constructing Spaces and Times for Tactical Analysis in Football,63
2397c919ae834c23eb470fc6fb3a0f44c24eabd0,2019,False,Contextualized Analysis of Movement Events,8
33cf35057b2a4c41bd27d3cb60380f6206afee7f,2019,True,COPE: Interactive Exploration of Co-Occurrence Patterns in Spatial Time Series,53
3a768cf024c400b71bf0bbf9beede46dd668ce1e,2019,True,ARGO: A Big Data Framework for Online Trajectory Prediction,17
4414cf43bd65ddef3ec4890cf3c51e618de6fe81,2019,True,Creating Maps of Artificial Spaces for Exploring Trajectories,0
69ebbea4d27e43448d4ea149907e311e30cbe73a,2019,True,Resolving Congestions in the Air Traffic Management Domain via Multiagent Reinforcement Learning Methods,7
7261c95c69d30e37e1231281402c6f00acbdeaad,2019,False,VAST International Program Committee,0
7a12bcb4985c3c615034bcbd60699f7633c15a5e,2019,False,Towards the Creation of a Threat Intelligence Framework for Maritime Infrastructures,9
c941253210e358e286b60a29b1a8fd284e4762d5,2019,True,Analysis of Flight Variability: a Systematic Approach,25
d1d66be989e8f83732457229ea1ed2431a2d7cdb,2019,True,Understanding User Behaviour through Action Sequences: From the Usual to the Unusual,46
e19887cea31b71ede6f26db6bc41f2308c947505,2019,True,P045 Aggregated patient journeys and no-show rates of oximetry outreach network in east anglia,1
eee39056394f094ef78b86c084a41215fa370f9e,2019,False,Moving Together: Towards a Formalization of Collective Movement,0
ff847c59b54a7266d0c30db60068e60a892ff048,2019,False,Visual Analytics for Integrated Evolution of Physical and Cyber-Events: A Case of the World Cup in Social Media,0
05979fd2af973723e0556903469c2019cc340573,2018,True,Exploring pressure in football,12
15b444c2c20308373e17b3fbbe45dce462050679,2018,False,Big Data Analytics for Time Critical Mobility Forecasting: Recent Progress and Research Challenges,0
29592d015f255105723953143f5a226e4da1dbdd,2018,True,Creating maps of artificial spaces to explore trajectories,3
2e55536cab543ce666c8b1f2c1d7b7d057117d2a,2018,False,Big Data Analytics for Time Critical Maritime and Aerial Mobility Forecasting,5
4ba3d1157db4e1e360e4b87973c8142dfddc2019,2018,False,"Increasing Maritime Situation Awareness via Trajectory Detection, Enrichment and Recognition of Events",6
853501cffacf6b161dcaf548a2858fe1536b3f8d,2018,False,Clustering Trajectories by Relevant Parts for Air Traffic Analysis,82
8631586e81c8c4561654a180ebafa8b27c39690c,2018,False,Big Data Analytics for Time Critical Mobility Forecasting: Recent Progress and Research Challenges.,25
8ac3af598078a3f2e32d89111adfcd677e3fc4e5,2018,False,Visual Exploration of Spatial and Temporal Variations of Tweet Topic Popularity,7
8ea88604dab65e35cf4087d3e6332288261cf48f,2018,False,User-Uncertainty : A Human-Centred Uncertainty Taxonomy for VGI through the Visual Analytics Workflow,3
903c2085dca8459ac154251adac5234b91cf01a1,2018,False,Data Abstraction for Visualizing Large Time Series,34
afbc0d91e184427dfd3d758eb6b37ce8e5ab7d3a,2018,False,Visual analytics of flight trajectories for uncovering decision making strategies,0
bc13f37a5593a3a5a0fd03126eedb2205e934f59,2018,False,Designing visualisation enhancements for SIEM systems,1
bfd04234c64520d4bade28de4de6523518f2f71b,2018,False,Supplemental Material: Designs from Earlier Iterations Understanding User Behaviour in Action Sequences: from the Usual to the Unusual,0
c3ea8aa472ee33cfd5fa61093fbb8d0dd816d780,2018,False,Viewing Visual Analytics as Model Building,96
d2ce6fc25b33f1a1abbab6c3c0a8257b9a4c1164,2018,False,Steering data quality with visual analytics: The complexity challenge,59
